5,-2,-2,2,-2,-9,0,3,
5,-1,0,-1,-3,-6,1,3,
5,-2,1,-1,-4,7,0,3,
5,1,-1,1,-5,10,1,3,
5,0,2,-2,-1,8,-2,3,
5,-1,0,-1,5,2,0,3,
5,0,-1,-1,4,-6,-3,3,
5,0,2,-2,3,-10,-2,3,
5,-1,0,1,1,-13,-4,3,
5,-1,-2,0,0,-13,0,3,
5,1,0,1,-2,-5,0,3,
5,0,0,-5,-1,-2,1,3,
5,1,0,0,1,3,-2,3,
5,0,-1,-3,1,-4,-2,3,
5,-3,-2,-1,0,1,-2,3,
5,-2,1,-3,-1,-5,1,3,
5,-2,-1,0,-3,1,0,3,
5,-1,-1,1,-3,5,4,3,
5,0,-1,-1,-4,11,2,3,
5,-3,2,-1,-5,12,2,3,
5,2,1,3,1,5,2,3,
5,-1,1,0,4,1,1,3,
5,-2,-2,0,0,-6,-4,3,
5,-1,3,-3,5,-14,0,3,
5,3,-1,2,4,-16,-1,3,
5,-2,1,0,0,-9,-1,3,
5,0,1,0,-5,-1,0,3,
5,2,0,0,-5,7,1,3,
5,-2,-1,1,-5,6,4,3,
5,-3,-6,-1,-2,13,-1,3,
5,2,0,-4,0,8,2,3,
5,-1,0,1,1,4,1,3,
5,1,-2,0,2,-5,-3,3,
5,1,0,-2,3,-12,-3,3,
5,1,3,-3,2,-9,-3,3,
5,-3,1,0,0,-12,0,3,
5,0,-4,-1,-5,-8,-1,3,
5,1,2,-1,-5,2,-1,3,
5,0,1,1,-5,4,3,3,
5,-1,-1,-1,-3,2,1,3,
5,-5,0,-1,1,2,-2,3,
5,1,-2,-3,1,-5,0,3,
5,-1,-1,3,2,-7,-4,3,
5,-3,0,1,3,-13,-2,3,
5,-1,0,-1,1,-13,-2,3,
5,-1,1,-1,-1,-10,-2,3,
5,-2,1,1,-2,-7,0,3,
5,1,0,2,0,0,0,3,
5,-1,3,-1,-1,8,3,3,
5,0,-3,-1,-6,9,3,3,
5,-3,0,-1,-1,16,2,3,
5,-2,-1,3,0,5,1,3,
5,1,1,2,1,0,-5,3,
5,-2,-2,1,4,-8,-1,3,
5,-2,0,0,3,-8,-5,3,
5,0,2,-2,2,-9,-3,3,
5,2,-1,-1,1,-11,1,3,
5,-1,-1,0,-1,-3,0,3,
5,1,2,1,-4,4,2,3,
5,-1,-4,0,-2,11,3,3,
5,0,1,0,-4,5,0,3,
5,0,-1,1,0,7,-1,3,
5,1,-1,-2,2,-1,-1,3,
5,0,0,-3,4,-5,-2,3,
5,1,1,-1,3,-4,-3,3,
5,-3,3,-1,3,-15,-4,3,
5,-3,-3,-1,2,-11,-2,3,
5,-2,2,-2,-2,-8,-1,3,
5,-2,1,-2,-2,-6,0,3,
5,-4,-3,-1,-5,-1,-2,3,
5,-4,-1,0,-6,5,0,3,
5,-3,2,3,-4,10,1,3,
5,1,1,-1,0,14,2,3,
5,-3,0,0,2,-9,-2,3,
5,-1,-1,-1,3,-13,-4,3,
5,0,1,0,3,-15,-3,3,
5,1,3,1,-2,-11,-1,3,
5,0,2,0,0,-5,-1,3,
5,-1,-2,-1,-3,2,2,3,
5,-1,-2,-1,-6,6,0,3,
5,-1,-1,-2,-1,7,0,3,
5,2,2,-1,-1,3,-3,3,
5,0,-3,-2,0,-3,1,3,
5,2,4,-1,6,-7,-1,3,
5,-1,0,-1,3,-12,1,3,
5,0,4,2,1,-13,-4,3,
5,-2,0,-2,-2,-10,-1,3,
5,-3,-1,-2,-2,-3,1,3,
5,-1,0,1,-6,0,-2,3,
5,-2,0,-3,-4,6,0,3,
5,4,1,-2,-2,8,-1,3,
5,-1,-2,-1,0,15,2,3,
5,-2,-3,-1,-2,2,0,3,
5,-1,0,-2,5,-6,1,3,
5,1,0,1,3,-11,-4,3,
5,-3,-2,-3,3,-10,-2,3,
5,1,2,-1,0,-12,-1,3,
5,1,2,0,-1,-11,-2,3,
5,-1,1,-1,-3,-6,5,3,
5,0,1,1,-5,3,2,3,
5,-2,1,-3,-4,10,-1,3,
5,-3,-1,1,-2,9,-4,3,
5,0,1,1,2,6,0,3,
5,0,0,1,2,-4,0,3,
5,-2,-3,2,3,-8,0,3,
5,0,-1,2,4,-9,-1,3,
5,0,2,-1,0,-10,1,3,
5,2,1,1,-1,-3,0,3,
5,-4,-2,-2,-4,-5,-1,3,
5,0,1,1,-6,6,3,3,
5,-1,2,1,-4,11,4,3,
5,-1,-4,1,0,12,1,3,
5,0,-3,-2,0,8,1,3,
5,-3,0,0,3,0,-1,3,
5,-2,-1,-2,2,-8,2,3,
5,1,-1,1,3,-10,0,3,
5,1,1,3,2,-14,-4,3,
5,-1,0,-1,1,-12,0,3,
5,1,-2,-3,-4,-4,1,3,
5,-4,-1,1,-6,3,-1,3,
5,-1,1,-1,-2,8,2,3,
5,-2,0,-2,-5,10,0,3,
5,-3,2,-1,-1,8,0,3,
5,-2,2,-1,1,5,-2,3,
5,-1,3,-1,1,-3,-2,3,
5,0,-1,1,3,-8,-2,3,
5,1,-2,2,6,-9,-4,3,
5,0,3,1,2,-14,-1,3,
5,-2,4,2,-2,-10,-1,3,
5,-1,1,0,-2,-11,0,3,
5,-3,-1,1,-2,-5,1,3,
5,-1,1,-2,-2,11,3,3,
5,0,2,-1,-2,10,3,3,
5,-2,0,1,-2,9,5,3,
5,-3,-1,3,0,3,-2,3,
5,1,1,-1,4,-2,0,3,
5,-1,-2,0,5,-11,-2,3,
5,-1,1,-1,2,-13,-5,3,
5,-1,0,-1,2,-13,-2,3,
5,-1,-3,-1,-3,-8,-3,3,
5,-3,2,-4,-5,2,-2,3,
5,0,-1,2,5,-8,-2,3,
5,-3,2,0,3,-11,-1,3,
5,1,0,0,2,-12,-4,3,
5,-2,-2,4,-2,-11,0,3,
5,-1,4,3,-4,-11,-1,3,
5,-1,0,2,-7,-3,2,3,
5,0,-3,0,-3,6,1,3,
5,-3,3,-3,-2,12,0,3,
5,-2,1,-2,-1,9,0,3,
5,-2,0,-1,3,-1,1,3,
5,-1,0,-4,3,-11,-1,3,
5,-5,0,1,0,-7,-3,3,
5,-1,-2,0,1,-15,-1,3,
5,-4,5,-1,-3,1,-1,3,
5,-2,-3,1,-4,12,2,3,
5,-1,-2,2,-2,4,2,3,
5,0,-1,0,1,1,0,3,
5,-2,-2,-1,3,-3,-3,3,
5,0,-2,0,6,-10,-3,3,
5,3,-3,0,0,-14,-4,3,
5,-2,-1,1,0,-14,-3,3,
5,0,-4,-2,1,-4,1,3,
5,0,-3,-1,-3,1,2,3,
5,1,1,2,-4,3,2,3,
5,-3,1,0,-4,12,2,3,
5,0,-1,2,-2,10,2,3,
5,-5,1,2,2,11,-2,3,
5,-1,-2,0,2,-5,-1,3,
5,0,1,0,4,-5,-1,3,
5,3,-3,-1,4,-14,-3,3,
5,-1,-2,0,0,-14,-2,3,
5,-2,0,0,-2,-13,1,3,
5,-1,-2,-2,-1,-3,2,3,
5,-3,1,2,-3,3,2,3,
5,1,3,-3,-3,10,4,3,
5,-1,-1,0,-3,14,3,3,
5,1,-2,-2,-1,6,2,3,
5,1,-4,0,2,2,0,3,
5,-2,-1,0,2,-5,-2,3,
5,1,1,0,3,-9,-3,3,
5,1,4,-2,4,-12,-2,3,
5,-1,-1,3,1,-11,-5,3,
5,0,0,1,-2,-10,0,3,
5,0,2,-1,-3,-1,-2,3,
5,-2,0,0,-5,6,1,3,
5,-2,0,-3,-1,6,4,3,
5,-4,0,-1,-2,7,2,3,
5,-2,-3,0,1,10,0,3,
5,-2,0,2,3,2,-2,3,
5,-1,2,0,5,-6,-2,3,
5,-4,0,-3,3,-11,-2,3,
5,-3,0,1,-1,-15,-1,3,
5,0,0,1,1,-7,-2,3,
5,-3,3,-4,-6,-5,1,3,
5,-1,1,-1,-3,2,1,3,
5,-1,1,3,-3,15,3,3,
5,-3,3,0,1,8,-1,3,
5,0,-2,-2,3,1,-3,3,
5,-2,0,0,3,-3,-2,3,
5,-2,0,-4,4,-10,-4,3,
5,-3,-2,0,3,-15,-2,3,
5,-3,1,-2,-1,-14,-2,3,
5,-2,2,2,-1,-5,1,3,
5,-2,-1,-1,-4,2,2,3,
5,0,1,-1,-7,9,2,3,
5,0,0,-1,-4,6,1,3,
5,-3,-3,1,0,11,0,3,
5,-2,-1,1,-2,7,-1,3,
5,-1,-1,1,3,2,-3,3,
5,0,-1,2,3,-6,0,3,
5,1,-2,1,3,-11,0,3,
5,2,-1,-2,2,-14,-2,3,
5,-1,0,0,-2,-12,2,3,
5,2,-3,-3,-2,-10,0,3,
5,-2,0,1,-2,-4,1,3,
5,-3,0,-1,-4,3,2,3,
5,0,-5,0,-4,8,2,3,
5,-2,-1,2,0,9,4,3,
5,-2,0,2,-3,3,-2,3,
5,1,-1,1,4,1,-2,3,
5,0,-2,1,4,-8,-2,3,
5,-4,1,2,3,-13,-2,3,
5,-1,-1,-2,1,-14,-1,3,
5,-3,-1,-2,-3,-14,-1,3,
5,-1,0,1,-1,-7,1,3,
5,-2,-3,2,-1,1,0,3,
5,-3,1,0,-5,7,0,3,
5,-2,-3,0,-3,7,1,3,
5,0,-2,0,1,8,-2,3,
5,-1,0,-1,0,1,1,3,
5,1,-1,-1,5,-10,-3,3,
5,-1,0,1,-1,-9,0,3,
5,0,-2,0,0,-8,-1,3,
5,1,1,-1,-3,-4,2,3,
5,0,1,0,-6,1,1,3,
5,1,1,-1,-3,10,0,3,
5,0,1,0,-2,9,3,3,
5,1,0,2,0,12,3,3,
5,-2,-1,0,-1,6,-1,3,
5,-5,0,-1,7,-7,-2,3,
5,-2,2,0,2,-12,-6,3,
5,-3,-2,2,0,-17,-5,3,
5,1,-3,5,1,-10,1,3,
5,-1,0,0,-4,-1,0,3,
5,-3,1,3,-3,-1,-1,3,
5,-5,1,-1,-5,5,2,3,
5,-2,2,-1,-6,7,2,3,
5,0,-1,0,-1,9,1,3,
5,1,4,0,2,4,-2,3,
5,1,-2,1,2,5,0,3,
5,0,1,0,5,-5,-2,3,
5,-4,-2,-2,5,-6,-3,3,
5,0,-2,-1,5,-16,0,3,
5,1,1,0,2,-15,-3,3,
5,0,-1,-1,2,-12,0,3,
5,-4,2,-2,-4,0,-3,3,
5,-1,1,2,-2,5,0,3,
5,0,-1,3,-3,11,2,3,
5,-1,3,0,-3,12,2,3,
5,-2,-1,-2,-3,7,0,3,
5,-2,1,-2,1,-3,-2,3,
5,-1,0,1,2,-8,-2,3,
5,-2,2,2,3,-12,-2,3,
5,-1,7,0,2,-15,0,3,
5,1,0,-2,1,-15,1,3,
5,1,0,0,0,-7,-3,3,
5,1,-2,-2,-2,0,1,3,
5,0,-2,3,-5,4,3,3,
5,-3,1,-1,-6,9,2,3,
5,0,-2,0,0,9,3,3,
5,0,0,1,3,5,0,3,
5,1,-2,-2,3,-5,-3,3,
5,-3,1,-1,2,-8,-3,3,
5,-2,4,-4,4,-13,0,3,
5,-3,-1,0,1,-12,-3,3,
5,-2,0,-3,0,-12,-3,3,
5,1,0,-1,-1,-1,0,3,
5,-1,-1,0,-4,2,1,3,
5,-2,0,-1,-4,7,0,3,
5,-1,-1,-1,-6,12,0,3,
5,-2,1,-1,1,4,-2,3,
5,-5,0,-1,1,-1,-3,3,
5,2,1,2,3,-11,-1,3,
5,0,2,0,2,-11,-6,3,
5,0,1,1,0,-16,-1,3,
5,-1,-2,-1,-3,-3,3,3,
5,2,3,-3,-3,1,1,3,
5,1,1,3,-5,11,1,3,
5,2,-1,3,-1,12,-1,3,
5,-4,0,0,-1,7,-2,3,
5,-3,1,0,1,-2,1,3,
5,0,-1,0,3,-8,1,3,
5,-2,-1,2,1,-12,0,3,
5,-3,0,1,-1,-12,0,3,
5,-1,0,2,0,-17,-1,3,
5,-1,-3,-1,-2,-7,-1,3,
5,-1,0,1,-3,-1,0,3,
5,2,1,0,-3,6,-1,3,
5,-3,-2,0,-3,11,0,3,
5,-1,0,-1,-2,8,2,3,
5,-1,-2,1,0,7,1,3,
5,-2,-2,-2,3,0,-1,3,
5,-1,0,1,2,-6,-4,3,
5,-2,2,1,5,-14,-6,3,
5,0,-1,0,3,-13,-2,3,
5,-1,-1,-2,1,-11,0,3,
5,0,2,0,0,-4,-2,3,
5,-3,1,3,-4,2,1,3,
5,-3,1,-2,-6,6,2,3,
5,-2,-2,0,0,11,3,3,
5,3,0,1,2,5,-1,3,
5,0,-2,0,-1,4,-1,3,
5,-1,-4,1,-2,1,0,3,
5,-1,1,-1,-3,5,4,3,
5,-2,0,-1,-5,12,3,3,
5,-2,0,-1,-3,11,3,3,
5,-1,1,-1,4,5,-2,3,
5,1,-3,-4,-1,8,1,3,
5,2,0,2,2,-11,-1,3,
5,0,0,-4,-5,-9,-1,3,
5,0,0,-1,-5,1,0,3,
5,1,3,2,-4,6,3,3,
5,-3,0,0,-2,8,0,3,
5,-5,2,0,0,4,-1,3,
5,2,2,2,3,-4,-2,3,
5,-1,3,0,4,-14,-3,3,
5,0,-2,0,3,-15,-2,3,
5,-2,-1,-2,3,-16,0,3,
5,0,-1,0,-1,-9,-1,3,
5,-1,-2,0,-3,-1,2,3,
5,-2,2,-1,-3,5,1,3,
5,-3,0,-1,-5,13,-1,3,
5,-1,-2,2,-2,5,2,3,
5,0,1,2,4,-1,-1,3,
5,-4,2,2,3,-5,-3,3,
5,-1,0,0,4,-11,-2,3,
5,1,-1,1,2,-13,-1,3,
5,-2,-2,-1,0,-10,-2,3,
5,-2,-1,0,-5,-3,1,3,
5,-2,2,-1,-4,6,3,3,
5,-3,1,-4,-6,7,4,3,
5,-1,-2,1,-4,17,3,3,
5,0,-1,-2,0,10,1,3,
5,-2,-1,2,-2,5,-1,3,
5,-1,2,-2,1,0,0,3,
5,1,0,1,5,-8,1,3,
5,-1,0,-1,4,-10,-4,3,
5,-1,1,-1,4,-17,-2,3,
5,0,1,0,0,-11,-1,3,
5,-1,1,-3,-4,-10,1,3,
5,1,2,-3,-3,-1,3,3,
5,3,-2,1,-5,8,2,3,
5,-2,2,2,-6,9,2,3,
5,-1,0,-3,1,8,1,3,
5,-1,-3,1,4,4,-2,3,
5,-1,0,0,-1,-11,1,3,
5,-3,1,-1,1,-12,-3,3,
5,0,-2,0,4,-14,-4,3,
5,0,-1,2,2,-10,-3,3,
5,-1,-1,0,0,-9,0,3,
5,0,2,-3,-4,-5,0,3,
5,1,-1,-1,-5,1,-2,3,
5,-4,-3,-2,-5,8,3,3,
5,-5,2,-2,-1,6,1,3,
5,-1,0,-1,2,5,-1,3,
5,-1,1,-2,2,2,-3,3,
5,1,-2,0,7,-9,-1,3,
5,1,-3,-1,4,-11,-1,3,
5,1,-2,-1,0,-13,-2,3,
5,-2,-2,2,2,-7,-2,3,
5,-2,3,0,-2,-9,-1,3,
5,-2,-2,1,-5,2,0,3,
5,-1,1,-1,-2,6,2,3,
5,2,3,1,-3,11,-1,3,
5,-2,2,-1,-1,6,-2,3,
5,1,-5,0,0,-3,-1,3,
5,1,-3,-1,3,-11,0,3,
5,-5,0,-3,3,-11,-3,3,
5,1,-1,0,3,-17,-3,3,
5,-2,-1,0,0,-15,-1,3,
5,-3,0,-2,-5,-4,-1,3,
5,-1,6,-4,-4,2,2,3,
5,-1,-1,-1,-4,6,2,3,
5,-2,2,-1,1,-9,1,3,
5,1,0,-1,2,-15,1,3,
5,-1,-1,0,2,-12,-2,3,
5,-3,1,2,-5,-5,-1,3,
5,0,-3,1,-7,-1,2,3,
5,2,-2,0,-4,7,2,3,
5,-2,0,-1,-4,10,0,3,
5,0,1,-2,1,7,2,3,
5,0,0,1,3,-3,-1,3,
5,-2,-1,1,5,-7,1,3,
5,0,4,0,2,-14,-3,3,
5,-2,1,-3,1,-14,-4,3,
5,1,4,0,0,-6,-1,3,
5,-1,0,1,-3,-2,3,3,
5,0,0,-1,-6,4,0,3,
5,1,1,-1,-3,6,1,3,
5,2,0,0,-2,5,2,3,
5,-2,0,0,-1,10,2,3,
5,-4,-2,-2,0,-4,-2,3,
5,1,1,1,2,-5,-3,3,
5,-4,1,2,3,-13,0,3,
5,-2,0,-2,0,-16,-1,3,
5,2,-2,-2,1,-15,-3,3,
5,-1,-1,-2,-1,-8,-2,3,
5,0,-1,0,-2,-3,0,3,
5,-4,-1,2,-7,2,2,3,
5,-2,-1,1,-3,9,3,3,
5,2,-1,-2,-1,11,5,3,
5,2,1,0,2,7,2,3,
5,1,2,-3,0,-3,-1,3,
5,-3,-1,-1,-1,-4,-1,3,
5,-1,-4,-1,-3,-1,2,3,
5,-2,3,3,-3,6,2,3,
5,-1,-1,-3,-6,8,-3,3,
5,-1,2,1,2,-12,-2,3,
5,-1,1,-1,5,-17,-3,3,
5,1,0,0,1,-9,-1,3,
5,-1,1,-2,2,-9,-2,3,
5,-3,-1,1,-3,-5,-1,3,
5,1,-1,0,-4,2,2,3,
5,-1,3,1,-6,8,0,3,
5,-1,0,0,-2,10,2,3,
5,0,3,2,-1,6,-1,3,
5,1,1,-1,0,5,-5,3,
5,1,2,0,4,-7,0,3,
5,-1,2,-1,4,-9,-1,3,
5,-2,-3,0,4,-13,-2,3,
5,-1,1,1,-1,-15,-2,3,
5,-3,1,-2,-3,-6,1,3,
5,-4,-1,1,-2,-5,1,3,
5,-2,-2,-1,-6,3,2,3,
5,-2,-1,2,-5,13,1,3,
5,-3,-1,-1,-1,12,3,3,
5,1,-3,-4,5,9,0,3,
5,-1,2,0,2,-6,-1,3,
5,-2,1,-2,5,-9,-3,3,
5,0,0,1,2,-14,-1,3,
5,-5,-1,-3,1,-7,-2,3,
5,-3,-1,4,-4,-3,-1,3,
5,1,-1,0,-2,-2,0,3,
5,-2,0,0,-3,6,2,3,
5,-1,3,-2,-2,13,2,3,
5,3,-1,0,1,10,0,3,
5,-3,0,1,1,5,-3,3,
5,-2,3,-2,4,-7,-4,3,
5,0,0,3,3,-11,-5,3,
5,-3,-1,0,-1,-11,-4,3,
5,-2,-1,1,-2,-6,-2,3,
5,-1,-1,0,-1,-7,1,3,
5,-1,-4,-1,-3,2,1,3,
5,-2,-1,1,-5,7,3,3,
5,3,-1,-3,-4,12,3,3,
5,1,-2,-3,-2,6,1,3,
5,1,-2,1,3,-1,-1,3,
5,-4,-3,-1,3,-10,0,3,
5,1,-1,1,0,-11,-4,3,
5,1,-1,-2,4,-13,-1,3,
5,-1,0,-3,1,-13,0,3,
5,-2,0,-2,-4,-2,-3,3,
5,-2,1,1,-5,2,0,3,
5,0,-4,3,-3,9,2,3,
5,-1,0,-1,-4,11,1,3,
5,2,2,4,0,7,-1,3,
5,0,0,3,2,-1,-2,3,
5,0,0,-3,3,-5,-2,3,
5,-3,-2,1,1,-10,1,3,
5,-2,-4,-1,0,-13,-1,3,
5,1,-1,-3,-2,-12,0,3,
5,-1,2,1,-2,-5,3,3,
5,0,-2,-1,1,-7,0,3,
5,0,2,-2,2,-5,-1,3,
5,-2,0,2,6,-11,-3,3,
5,-1,0,1,1,-16,-1,3,
5,0,0,0,3,-13,-2,3,
5,-3,1,1,0,-7,-3,3,
5,2,4,5,-4,-4,3,3,
5,-1,-2,-2,-7,4,1,3,
5,-3,-3,-1,-6,9,3,3,
5,-2,0,-1,-2,10,2,3,
5,-2,-1,0,1,4,-2,3,
5,0,0,2,4,-2,-5,3,
5,-1,-2,0,5,-12,-1,3,
5,0,0,-3,3,-10,-2,3,
5,-1,-1,2,2,-14,-1,3,
5,0,-1,0,-1,-10,-1,3,
5,1,3,-1,-5,1,0,3,
5,-4,0,3,-3,5,1,3,
5,-4,1,-1,-4,10,5,3,
5,-2,1,-2,-2,14,1,3,
5,-3,0,0,-2,8,0,3,
5,-1,0,1,3,1,0,3,
5,-2,4,0,3,-3,-1,3,
5,-2,-1,-1,3,-11,-4,3,
5,1,3,2,1,-12,-2,3,
5,-2,1,-2,-2,-16,-2,3,
5,-1,-3,-2,-4,-2,-1,3,
5,-1,0,0,-5,7,3,3,
5,-1,0,-2,-6,12,0,3,
5,0,-3,0,0,5,-2,3,
5,-1,1,0,7,-6,-2,3,
5,1,-2,-2,2,-4,-4,3,
5,0,0,5,1,-14,-3,3,
5,-1,1,1,3,-14,-1,3,
5,-4,-2,2,1,-11,-1,3,
5,-1,1,-2,0,-1,-1,3,
5,-1,-2,-1,-3,3,1,3,
5,-1,1,0,-5,8,3,3,
5,-2,0,1,0,9,4,3,
5,-1,-2,1,-3,2,3,3,
5,0,1,0,3,-2,-2,3,
5,-2,0,0,2,2,1,3,
5,0,0,4,-5,2,-2,3,
5,-2,0,-1,-5,7,0,3,
5,-4,-1,0,-3,10,-1,3,
5,0,2,0,-1,8,0,3,
5,0,3,2,3,3,0,3,
5,-3,2,-4,4,-6,-3,3,
5,1,4,4,3,-12,-2,3,
5,-1,-1,-3,3,-14,-2,3,
5,-1,0,-3,2,-13,-2,3,
5,0,-3,1,-1,-9,-2,3,
5,1,3,-3,-4,-1,-2,3,
5,-2,-2,-1,-5,5,2,3,
5,1,0,0,-2,10,2,3,
5,-2,0,0,-2,7,-1,3,
5,-1,-3,-2,-1,9,-3,3,
5,-1,1,1,4,-1,1,3,
5,-2,0,-3,1,-9,-2,3,
5,1,0,-1,1,-15,-1,3,
5,0,1,1,0,-11,-2,3,
5,-1,1,0,-2,-10,-1,3,
5,-1,1,0,-1,-3,1,3,
5,-2,-1,-1,-6,3,3,3,
5,-2,1,2,-3,10,0,3,
5,-1,4,0,-6,7,0,3,
5,-1,1,1,-1,11,-2,3,
5,-2,0,1,3,0,-1,3,
5,2,2,1,3,-4,-2,3,
5,-2,2,-4,4,-13,-3,3,
5,2,0,0,1,-8,-2,3,
5,-2,2,-2,3,-7,-2,3,
5,0,3,-6,-1,1,1,3,
5,-2,-1,1,-4,13,2,3,
5,0,0,-2,-2,9,-2,3,
5,-4,-1,1,4,1,-1,3,
5,0,2,-1,3,-2,-1,3,
5,1,-2,5,3,-7,-1,3,
5,-3,0,-1,3,-16,-1,3,
5,-2,-2,4,2,-14,2,3,
5,1,0,1,-2,-8,0,3,
5,0,-1,0,-3,2,0,3,
5,-3,-2,-1,-6,7,-1,3,
5,2,0,1,-4,9,2,3,
5,0,-1,-2,-2,8,0,3,
5,0,-1,-1,1,8,1,3,
5,-2,-2,0,5,3,0,3,
5,0,1,-3,2,-12,-3,3,
5,-1,-3,-1,4,-16,-1,3,
5,-3,2,-1,-3,-12,-1,3,
5,-2,1,-1,0,-5,2,3,
5,-2,0,-1,-3,-3,0,3,
5,0,1,-2,-5,4,2,3,
5,-3,1,-1,-1,5,3,3,
5,-1,2,-1,1,3,0,3,
5,-1,-1,0,1,-1,-3,3,
5,-3,-2,1,4,-7,-4,3,
5,-2,-2,-1,2,-13,-1,3,
5,0,2,2,3,-15,-3,3,
5,-1,2,-1,1,-11,0,3,
5,-2,-2,-3,-1,-9,1,3,
5,-3,-2,-2,-2,-3,0,3,
5,1,1,-4,-5,9,-2,3,
5,-2,-1,-1,-3,11,0,3,
5,1,0,-1,-1,10,2,3,
5,3,0,2,0,9,-1,3,
5,2,2,2,4,8,3,3,
5,-2,-1,-2,3,-10,-2,3,
5,-2,-1,-3,2,-9,1,3,
5,2,0,0,-1,-10,-2,3,
5,-2,-2,0,-5,-4,-1,3,
5,1,0,1,-5,6,0,3,
5,0,1,1,-7,11,1,3,
5,-2,0,3,-3,10,-1,3,
5,-1,0,-2,4,-4,-2,3,
5,-2,1,1,3,-4,-2,3,
5,-1,4,-1,0,-8,-3,3,
5,1,-2,-1,1,-13,0,3,
5,0,1,1,1,-14,-1,3,
5,1,3,1,-2,-9,2,3,
5,-1,1,0,-4,-6,2,3,
5,-3,-3,0,-4,2,1,3,
5,-2,4,1,-5,6,6,3,
5,-1,2,2,0,8,2,3,
5,-3,0,2,-2,9,0,3,
5,-1,0,-1,0,-3,-1,3,
5,-1,1,1,5,-10,-4,3,
5,1,-5,1,0,-10,-3,3,
5,0,2,1,-1,-14,-1,3,
5,-3,-1,1,-1,-12,-3,3,
5,-1,-1,1,-1,-1,-2,3,
5,0,-1,0,-6,7,3,3,
5,0,1,1,-1,10,0,3,
5,2,4,3,-4,12,-2,3,
5,0,2,0,4,-18,-1,3,
5,-1,0,-1,3,-12,-3,3,
5,-1,-3,2,0,-12,-2,3,
5,-4,-1,3,-4,-7,-5,3,
5,-1,-2,0,-5,7,0,3,
5,0,-2,-1,-4,9,3,3,
5,1,2,2,-3,11,0,3,
5,-4,1,-3,0,8,-3,3,
5,-2,2,0,1,1,-3,3,
5,-2,2,-1,5,-4,2,3,
5,0,1,1,5,-14,-1,3,
5,-1,1,-1,3,-13,-1,3,
5,-1,-1,-3,1,-12,-5,3,
5,-3,-1,2,-2,-7,0,3,
5,0,2,-2,-3,-4,0,3,
5,-1,2,0,-6,4,0,3,
5,1,-1,-1,-3,9,4,3,
5,-2,-2,-4,2,5,0,3,
5,-5,-2,-2,-2,7,4,3,
5,-5,0,1,-1,-8,-4,3,
5,0,-1,-4,-4,-5,-2,3,
5,-2,-1,3,-4,6,2,3,
5,-4,-2,0,-4,8,5,3,
5,2,-1,2,-1,11,0,3,
5,0,-1,0,1,2,0,3,
5,-2,1,1,3,2,-3,3,
5,-3,-1,1,4,-11,-1,3,
5,-1,2,-2,3,-13,-2,3,
5,0,2,1,2,-16,0,3,
5,-1,0,0,-1,-10,-4,3,
5,-2,0,1,-1,-4,-1,3,
5,-4,1,-2,-4,4,1,3,
5,1,-1,0,1,-3,-1,3,
5,-2,1,-1,3,-4,-5,3,
5,-4,0,0,5,-8,-2,3,
5,0,0,3,2,-11,1,3,
5,-2,1,2,0,-15,0,3,
5,-4,1,-1,0,-14,-1,3,
5,0,3,-2,-2,-6,0,3,
5,-1,0,-4,-3,0,2,3,
5,-1,-1,-1,-3,10,1,3,
5,-1,-2,3,-4,8,1,3,
5,-2,1,1,-3,6,-1,3,
5,-1,0,0,5,0,1,3,
5,2,1,2,4,-5,-2,3,
5,-1,0,-2,4,-11,-5,3,
5,-2,0,0,2,-14,-4,3,
5,2,-1,2,0,-13,-2,3,
5,-2,-2,-1,0,-6,-2,3,
5,-2,3,-6,-4,0,-2,3,
5,0,-2,-1,-4,6,3,3,
5,-1,3,2,-5,11,-1,3,
5,-1,0,0,-4,11,0,3,
5,2,0,2,0,7,1,3,
5,2,1,-3,-2,-7,-1,3,
5,-3,-2,-1,-3,-12,1,3,
5,3,-1,-1,-4,-5,4,3,
5,0,-2,0,-6,2,3,3,
5,-3,-3,-1,-2,11,3,3,
5,-1,-2,0,-1,7,0,3,
5,0,2,1,-2,8,-3,3,
5,-2,0,-2,3,1,-1,3,
5,1,-4,2,6,-6,0,3,
5,-1,1,-1,1,-13,-1,3,
5,-2,-2,-2,0,-16,-2,3,
5,-1,-3,2,4,-13,0,3,
5,0,-3,1,-1,-6,-1,3,
5,1,-1,-1,-6,5,-1,3,
5,-3,1,-2,-6,6,2,3,
5,0,0,-2,-3,10,2,3,
5,-4,-1,-3,-1,3,-2,3,
5,-2,1,-3,6,-4,-1,3,
5,-3,1,2,2,-7,0,3,
5,-1,0,0,1,-16,-2,3,
5,-1,-1,-3,2,-14,-3,3,
5,0,1,0,-2,-14,-2,3,
5,0,-2,0,-2,-8,-2,3,
5,1,-1,-2,-5,4,3,3,
5,0,-1,-1,-6,7,2,3,
5,1,0,-3,-3,9,1,3,
5,-2,-1,2,3,2,0,3,
5,-3,-3,-1,0,-3,-1,3,
5,-2,0,0,3,-1,-4,3,
5,-2,-1,0,5,-8,-2,3,
5,-1,0,1,2,-10,-1,3,
5,-4,-1,2,2,-14,1,3,
5,1,-4,2,-2,-7,-1,3,
5,-2,-1,1,-4,-7,0,3,
5,0,7,0,-5,4,1,3,
5,-3,1,0,-4,4,2,3,
5,-1,0,-1,-6,11,3,3,
5,-2,1,-4,-3,4,-2,3,
